,keramik_id,ind_nr,profile_img_path,orig_img_path,stilgruppe,grundform,form,bodenform,sites,keramik_H_max,dm_1,dm_2,bodenform_Abgeflacht,bodenform_flach,bodenform_Flach,bodenform_rund,bodenform_Standboden,umbruchform_rund,umbruchform_scharf,umbruchform_spitz,decoration_AOC,decoration_AOO,decoration_Corded_Linear,decoration_Corded_Linear_Reserved,decoration_Linear,decoration_Linear_Reserved,decoration_maritime,decoration_special,decoration_zonal
44.01_02,1,analysis/data/input_data/object_images/original_images/44.01_02.png,profile_images/44.01_02_2.png,original_images/44.01_02.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,103,98,109,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
44.01_04,2,analysis/data/input_data/object_images/original_images/44.01_04.png,profile_images/44.01_04_2.png,original_images/44.01_04.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,317,254,321,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
44.01_04b,3,analysis/data/input_data/object_images/original_images/44.01_04b.png,profile_images/44.01_04b_2.png,original_images/44.01_04b.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,136,107,138,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
44.01_09,4,analysis/data/input_data/object_images/original_images/44.01_09.png,profile_images/44.01_09_2.png,original_images/44.01_09.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,94,88,97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
44.01_11,5,analysis/data/input_data/object_images/original_images/44.01_11.png,profile_images/44.01_11_2.png,original_images/44.01_11.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,113,107,124,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
44.01_14,6,analysis/data/input_data/object_images/original_images/44.01_14.png,profile_images/44.01_14_2.png,original_images/44.01_14.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,200,161,195,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
44.01_15,7,analysis/data/input_data/object_images/original_images/44.01_15.png,profile_images/44.01_15_2.png,original_images/44.01_15.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,157,127,153,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
44.04_0006,8,analysis/data/input_data/object_images/original_images/44.04_0006.png,profile_images/44.04_0006_2.png,original_images/44.04_0006.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,87,85,95,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
44.04_0008,9,analysis/data/input_data/object_images/original_images/44.04_0008.png,profile_images/44.04_0008_2.png,original_images/44.04_0008.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,85,118,137,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
44.04_01,10,analysis/data/input_data/object_images/original_images/44.04_01.png,profile_images/44.04_01_2.png,original_images/44.04_01.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,94,88,108,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
44.04_02,11,analysis/data/input_data/object_images/original_images/44.04_02.png,profile_images/44.04_02_2.png,original_images/44.04_02.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,185,174,212,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
